date,PX_LAST,PX_MID,PX_BID,PX_ASK,PX_DIRTY_MID,INT_ACC,YLD_YTM_MID,YLD_YTM_BID,YLD_YTM_ASK,DUR_ADJ_MID,DUR_ADJ_OAS_MID,CONVEXITY,OAS_SPREAD_MID,Z_SPRD_MID,country,isin,security_des,MOD_DUR_CALC,CONVEXITY_CALC,MAC_DUR_CALC,PV_DIRTY_CALC
2019-09-18,42.35,42.35,41.887,42.813,43.712,,21.456,21.676,21.238,,,,,1980.204,Argentina,US040114HF05,ARGENT 6 5/8 07/06/28,4.845354075738874,34.47997411191653,5.365163660984141,43.66093730640418
2019-09-19,41.871,41.871,41.399,42.342,43.288,,21.693,21.922,21.468,,,,,2005.563,Argentina,US040114HF05,ARGENT 6 5/8 07/06/28,4.816831848070229,34.18317357607776,5.339289514471166,43.18810362203877
2019-09-20,42.323,42.323,41.968,42.678,43.758,,21.48,21.65,21.313,,,,,1988.955,Argentina,US040114HF05,ARGENT 6 5/8 07/06/28,4.837769065401671,34.40228953812811,5.35734546302581,43.65895682355028
2019-09-23,41.289,41.289,40.827,41.751,42.743,,21.982,22.21,21.757,,,,,2039.572,Argentina,US040114HF05,ARGENT 6 5/8 07/06/28,4.775265408521525,33.75462582434137,5.300114829572125,42.69040803674917
2019-09-24,40.959,40.959,40.598,41.32,42.431,,22.148,22.328,21.97,,,,,2064.101,Argentina,US040114HF05,ARGENT 6 5/8 07/06/28,4.754633506369354,33.54187861646193,5.2811616208646965,42.378344714502056
2019-09-25,40.796,40.796,40.47,41.123,42.287,,22.232,22.396,22.07,,,,,2064.417,Argentina,US040114HF05,ARGENT 6 5/8 07/06/28,4.742987101093821,33.42243688482435,5.270217547251409,42.23395939840957
2019-09-26,40.814,40.814,40.549,41.078,42.36,,22.233,22.365,22.101,,,,,2067.145,Argentina,US040114HF05,ARGENT 6 5/8 07/06/28,4.740413890246264,33.396832989080096,5.267382000355489,42.25633914515258
2019-09-27,41.663,41.663,41.326,41.999,43.227,,21.818,21.982,21.656,,,,,2025.869,Argentina,US040114HF05,ARGENT 6 5/8 07/06/28,4.783363540367734,33.84210424839058,5.30518066898645,43.12436892782266
2019-09-30,41.84,41.84,41.423,42.256,43.423,,21.736,21.938,21.537,,,,,2020.16,Argentina,US040114HF05,ARGENT 6 5/8 07/06/28,4.7849465274656655,33.861050448752835,5.304974516070635,43.36744620474888
2019-10-01,41.857,41.857,41.505,42.209,43.458,,21.731,21.901,21.562,,,,,2021.528,Argentina,US040114HF05,ARGENT 6 5/8 07/06/28,4.783025280551431,33.84198699140304,5.3027248924097465,43.40233053121062
2019-10-02,41.798,41.798,41.475,42.12,43.417,,21.762,21.919,21.608,,,,,2029.247,Argentina,US040114HF05,ARGENT 6 5/8 07/06/28,4.777157474005263,33.782088955125786,5.296959978751776,43.3625644376265
2019-10-03,41.738,41.738,41.389,42.087,43.413,,21.801,21.971,21.633,,,,,2040.129,Argentina,US040114HF05,ARGENT 6 5/8 07/06/28,4.770414656880496,33.71320206140352,5.290413706553754,43.30641489731215
2019-10-04,41.785,41.785,41.35,42.22,43.478,,21.781,21.993,21.573,,,,,2036.85,Argentina,US040114HF05,ARGENT 6 5/8 07/06/28,4.770137132698075,33.71118479573548,5.289628917134559,43.37230553414073
2019-10-07,42.289,42.289,41.888,42.689,44.0,,21.543,21.735,21.354,,,,,2009.641,Argentina,US040114HF05,ARGENT 6 5/8 07/06/28,4.788824270856862,33.90685690496484,5.304652477192209,43.94265885249404
2019-10-08,42.62,42.62,42.19,43.05,44.35,,21.39,21.593,21.189,,,,,1998.464,Argentina,US040114HF05,ARGENT 6 5/8 07/06/28,4.803150982397422,34.055913811400735,5.316847979964827,44.29100922970535
2019-10-09,43.333,43.333,43.002,43.664,45.081,,21.061,21.214,20.91,,,,,1961.901,Argentina,US040114HF05,ARGENT 6 5/8 07/06/28,4.836860695722506,34.406241425861,5.346206311285564,45.02382566913445
2019-10-10,45.726,45.726,45.388,46.064,47.548,,20.015,20.16,19.872,,,,,1847.608,Argentina,US040114HF05,ARGENT 6 5/8 07/06/28,4.949954259853463,35.58759760441901,5.445320932408298,47.41371064953909
2019-10-11,45.645,45.645,45.407,45.883,47.485,,20.052,20.155,19.951,,,,,1844.195,Argentina,US040114HF05,ARGENT 6 5/8 07/06/28,4.943364692383275,35.51882114696317,5.438986436441622,47.35175583362437
2019-10-14,45.645,45.645,45.407,45.883,47.485,,20.052,20.155,19.951,,,,,1842.126,Argentina,US040114HF05,ARGENT 6 5/8 07/06/28,4.935899591078677,35.441679012252656,5.430772884080225,47.42613526181833
2019-10-15,45.041,45.041,44.745,45.337,46.9,,20.316,20.445,20.188,,,,,1865.43,Argentina,US040114HF05,ARGENT 6 5/8 07/06/28,4.904190303285584,35.11056107539247,5.4023579542933335,46.8387576076893
2019-10-16,44.078,44.078,43.797,44.358,45.955,,20.745,20.871,20.619,,,,,1911.77,Argentina,US040114HF05,ARGENT 6 5/8 07/06/28,4.854330229982583,34.59190733884029,5.357845633087527,45.89306956785035
2019-10-17,43.697,43.697,43.413,43.981,45.629,,20.926,21.056,20.797,,,,,1928.209,Argentina,US040114HF05,ARGENT 6 5/8 07/06/28,4.83190449895983,34.35984294223079,5.337466666685997,45.51722034927781
